Age,Job,Marital,Education,Default,Balance,Housing,Loan,contact,Day,Month,Duration,Campaign,Pdays,Previous,poutcome,TARGET
58,4,1,2,0,0.2564192520976728,1,0,2,5,8,0.011016097905401083,0,-0.4114531064930479,0,3,0
44,9,2,1,0,-0.437894694611083,1,0,2,5,8,-0.41612695732709054,0,-0.4114531064930479,0,3,0
33,2,1,1,0,-0.4467624697109583,1,1,2,5,8,-0.7073608586219712,0,-0.4114531064930479,0,3,0
47,1,1,3,0,0.04720544696357752,1,0,2,5,8,-0.6452309596790633,0,-0.4114531064930479,0,3,0
33,11,2,3,0,-0.4470909058257685,0,0,2,5,8,-0.23362037918229867,0,-0.4114531064930479,0,3,0
35,4,1,2,0,-0.37155059941942326,1,0,2,5,8,-0.4627243815342715,0,-0.4114531064930479,0,3,0
28,4,2,2,0,-0.30060839862042077,1,1,2,5,8,-0.15984112418759558,0,-0.4114531064930479,0,3,0
42,2,0,2,1,-0.4467624697109583,1,0,2,5,8,0.4731072212932784,0,-0.4114531064930479,0,3,0
58,5,1,0,0,-0.40767857204854485,1,0,2,5,8,-0.8083219444041965,0,-0.4114531064930479,0,3,0
43,9,2,1,0,-0.25265672585813204,1,0,2,5,8,-0.7889063509845378,0,-0.4114531064930479,0,3,0
41,0,0,1,0,-0.35874159094182556,1,0,2,5,8,-0.14042553076793687,0,-0.4114531064930479,0,3,0
29,0,2,1,0,-0.319329257164602,1,0,2,5,8,-0.47049061890213495,0,-0.4114531064930479,0,3,0
53,9,1,1,0,-0.44544872525171747,1,0,2,5,8,1.005094480991927,0,-0.4114531064930479,0,3,0
58,9,1,3,0,-0.4241003777890547,1,0,2,5,8,-0.7267764520416299,0,-0.4114531064930479,0,3,0
57,7,1,1,0,-0.3942126913413268,1,0,2,5,8,-0.3268152275966605,0,-0.4114531064930479,0,3,0
51,5,1,0,0,-0.3722074716490436,1,0,2,5,8,0.36826301682712137,0,-0.4114531064930479,0,3,0
45,0,2,3,0,-0.4431496724480461,1,0,2,5,8,-0.6219322475754728,0,-0.4114531064930479,0,3,0
57,1,1,0,0,-0.43034066397044846,1,0,2,5,8,-0.8549193686113774,0,-0.4114531064930479,0,3,0
60,5,1,0,0,-0.4277131750519669,1,0,2,5,8,-0.15207488681973208,0,-0.4114531064930479,0,3,0
33,7,1,1,0,-0.4474193419405787,1,0,2,5,8,-0.7927894696684695,0,-0.4114531064930479,0,3,0
28,1,1,1,0,-0.20996003093280646,1,1,2,5,8,0.014899216589332825,0,-0.4114531064930479,0,3,0
56,4,1,2,0,-0.19156760850343546,1,0,2,5,8,-0.3656464144359779,0,-0.4114531064930479,0,3,0
32,1,2,0,0,-0.43986531129994416,1,1,2,5,8,-0.3811788891717049,0,-0.4114531064930479,0,3,0
25,7,1,1,0,-0.43099753620006886,1,0,2,5,8,0.3255487113038722,0,-0.4114531064930479,0,3,0
40,5,1,0,0,-0.4474193419405787,1,1,2,5,8,-0.2996333968091383,0,-0.4114531064930479,0,3,0
44,0,1,1,0,-0.5695975766499718,1,0,2,5,8,-0.33458146496452396,0,-0.4114531064930479,0,3,0
39,4,2,2,0,-0.3636681326639785,1,0,2,5,8,0.14692525184301206,0,-0.4114531064930479,0,3,0
52,2,1,1,0,-0.41030606096702643,1,1,2,5,8,-0.5093218057414524,0,-0.4114531064930479,0,3,0
46,4,2,1,0,-0.528214626183887,1,0,2,5,8,-0.01228261419818937,11,-0.4114531064930479,0,3,0
36,9,2,1,0,-0.3603837715158765,1,1,2,5,8,0.34884742340746266,0,-0.4114531064930479,0,3,0
57,9,1,1,0,-0.17186144161482367,0,1,2,5,8,-0.12877617471614164,0,-0.4114531064930479,0,3,0
49,4,1,2,0,-0.3232704905423243,1,0,2,5,8,-0.10936058129648292,0,-0.4114531064930479,0,3,0
60,0,1,1,0,-0.434610333462981,1,1,2,5,8,-0.19478919234298125,0,-0.4114531064930479,0,3,0
59,1,1,1,0,-0.4474193419405787,1,0,2,5,8,-0.12489305603220989,0,-0.4114531064930479,0,3,0
51,4,1,2,0,3.045498739065863,1,0,2,5,8,0.3022499992002817,0,-0.4114531064930479,0,3,0
57,9,0,1,0,-0.42672786670753626,1,0,2,5,8,-0.06276315708930202,0,-0.4114531064930479,0,3,0
25,1,1,1,0,-0.44971839474425007,1,0,2,5,8,0.41486044103430225,0,-0.4114531064930479,0,3,0
53,9,1,1,0,-0.44840465028500925,0,0,2,5,8,5.466797848829499,0,-0.4114531064930479,0,3,0
36,0,0,1,0,-0.28123066784661915,1,0,2,5,8,1.2380816020278316,0,-0.4114531064930479,0,3,0
37,0,2,1,0,-0.4474193419405787,1,0,2,5,8,-0.47049061890213495,0,-0.4114531064930479,0,3,0
44,7,0,1,0,0.4019164509585899,1,0,2,5,8,-0.3811788891717049,0,-0.4114531064930479,0,3,0
50,4,1,1,0,-0.431325972314879,1,0,2,5,8,-0.30351651549307,11,-0.4114531064930479,0,3,0
60,1,1,3,0,-0.4132619860003182,1,0,2,5,8,-0.9170492675542853,0,-0.4114531064930479,0,3,0
